"H40-CHRC-2","H40-CHRC-2A~Y","CASEID","SAMPLE_RACE","SAMPLE_SEX","C1DOB~Y","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH08","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH10","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH12","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH14","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH16","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH20","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH22"
-4,-4,1,3,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,2,3,2,1993,4720,-4,-4,-4,-4,1,1,2,4,7000,49,2,2,4720,-4,-4,-4,-4,3,1,1,4,16800,51,2,2,4720,-4,-4,-4,-4,3,4,2,3,43000,53,2,1,4720,-4,-4,-4,-4,4,3,2,4,35400,55,2,2,4020,5400,-4,-4,-4,3,2,2,4,-2,57,2,2,4020,-4,-4,-4,-4,-4,7,2,4,52000,61,2,2,4130,-4,-4,-4,-4,3,0,1,4,46260,63,2,2
0,-4,3,3,2,1981,4650,-4,-4,-4,-4,1,0,2,2,-2,47,3,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4320,-4,-4,-4,-4,1,0,2,2,93000,51,3,0,4320,60,-4,-4,-4,3,0,2,2,90000,53,3,0,4320,-4,-4,-4,-4,1,0,2,2,79000,55,3,0,3030,3030,-4,-4,-4,-4,0,2,2,145000,59,3,0,10,3030,-4,-4,-4,1,0,2,2,81000,61,3,0
-4,-4,4,3,2,1980,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2630,2850,2140,2140,2140,3,0,1,2,144600,55,3,0,2630,2850,-4,-4,-4,-4,-4,-4,2,77515,58,3,0,2140,2630,-4,-4,-4,4,0,2,2,108895,60,3,0
-4,-4,5,3,1,1989,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,6,3,1,1991,430,-4,-4,-4,-4,1,0,2,5,141050,47,2,3,360,-4,-4,-4,-4,1,1,2,5,116495,49,2,3,2710,-4,-4,-4,-4,4,0,2,5,157000,52,2,3,2710,-4,-4,-4,-4,1,0,2,5,182000,54,2,3,2710,-4,-4,-4,-4,3,0,2,4,169010,56,2,2,2710,-4,-4,-4,-4,-4,0,2,2,133000,59,2,0,2710,-4,-4,-4,-4,1,1,2,2,144000,62,2,0
0,-4,7,3,1,1990,8140,-4,-4,-4,-4,2,0,2,2,32600,43,2,0,8640,-4,-4,-4,-4,2,0,2,2,29352,45,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,8,3,2,1976,5220,-4,-4,-4,-4,1,2,2,2,-2,49,2,0,5220,2140,-4,-4,-4,1,0,2,2,45319,51,2,0,830,2140,-4,-4,-4,1,1,2,3,41200,54,2,1,5000,-4,-4,-4,-4,1,0,1,2,47000,56,2,0,830,-4,-4,-4,-4,1,0,2,4,47000,58,2,1,120,5000,-4,-4,-4,-4,0,1,2,46000,62,2,0,950,830,-4,-4,-4,1,2,1,3,55056,64,2,0
0,-4,9,3,1,1991,10,-4,-4,-4,-4,3,7,2,4,80000,44,2,2,10,-4,-4,-4,-4,3,7,2,4,102000,46,2,2,10,-4,-4,-4,-4,3,0,2,3,150000,49,2,1,10,-4,-4,-4,-4,3,7,2,3,160000,51,2,1,10,-4,-4,-4,-4,3,1,1,3,200000,53,2,1,10,-4,-4,-4,-4,-4,-4,-4,3,170000,57,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,10,3,2,1983,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,9640,4230,4230,4230,3640,3,14,2,3,28000,62,2,1
0,-4,11,3,1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,12,3,2,1989,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,13,3,1,1989,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,14,3,2,-4,800,5120,800,-4,-4,1,0,2,1,109750,44,3,0,120,-4,-4,-4,-4,1,0,2,1,106000,46,3,0,800,-4,-4,-4,-4,4,0,1,1,103000,49,2,0,800,-4,-4,-4,-4,3,0,1,1,77440,51,2,0,800,800,-4,-4,-4,4,0,2,1,72500,53,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,15,3,1,1997,-4,-4,-4,-4,-4,4,0,2,6,241000,44,2,4,-4,-4,-4,-4,-4,4,0,1,6,440692,45,2,4,-4,-4,-4,-4,-4,4,0,2,6,497763,48,2,4,-4,-4,-4,-4,-4,4,0,2,6,595986,50,2,4,-4,-4,-4,-4,-4,4,0,2,6,922631,52,2,4,-4,-4,-4,-4,-4,-4,0,2,6,803437,56,2,4,-4,-4,-4,-4,-4,4,0,2,4,773981,58,2,2
