"PUBID","KEY!SEX","KEY!RACE_ETHNICITY","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","YEMP_OCCODE-2002.13","YHEA-1320~000004","CV_AGE_INT_DATE","CV_INCOME_FAMILY","CV_HH_SIZE","CV_HH_UNDER_18","CV_MSA","YHEA-500DDA","YEMP_OCCODE-2002.01","YEMP_OCCODE-2002.02","YEMP_OCCODE-2002.03","YEMP_OCCODE-2002.04","YEMP_OCCODE-2002.05","YEMP_OCCODE-2002.06","YEMP_OCCODE-2002.07","YEMP_OCCODE-2002.08","YEMP_OCCODE-2002.09","YEMP_OCCODE-2002.10","YEMP_OCCODE-2002.11","YEMP_OCCODE-2002.12","CV_CHILD_BIRTH_DATE.01~Y","CV_CHILD_BIRTH_DATE.02~Y","CV_CHILD_BIRTH_DATE.03~Y","CV_CHILD_BIRTH_DATE.04~Y","CV_CHILD_BIRTH_DATE.05~Y","CV_CHILD_BIRTH_DATE.06~Y","CV_CHILD_BIRTH_DATE.07~Y","CV_CHILD_BIRTH_DATE.08~Y","CV_CHILD_BIRTH_DATE.09~Y","CV_CHILD_BIRTH_DATE.10~Y","CV_CHILD_BIRTH_DATE.11~Y","CV_CHILD_BIRTH_DATE.12~Y","CV_CHILD_BIRTH_DATE.13~Y","CV_CHILD_BIRTH_DATE.14~Y","CV_CHILD_BIRTH_DATE.15~Y"
1,2,4,28,143500,3,0,3,5,800,-4,-4,-4,-4,-4,-4,-4,-4,29,47000,9,2,3,1,800,-4,-4,-4,-4,-4,-4,-4,-4,29,50000,9,2,3,0,800,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,120000,9,2,3,0,800,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1,2,27,55000,1,0,3,1,3850,-4,-4,-4,-4,-4,-4,-4,-4,28,52000,1,0,3,4,3850,-4,-4,-4,-4,-4,-4,-4,-4,29,81000,1,0,3,7,3850,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,98928,1,0,3,1,3910,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3,2,2,26,26250,4,1,4,2,5700,4760,4760,4700,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,28,150250,3,1,2,2,5700,5700,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2009,2018,2019,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4,2,2,28,97000,4,2,3,0,4840,-4,-4,-4,-4,-4,-4,-4,-4,29,74000,4,2,3,4,4840,-4,-4,-4,-4,-4,-4,-4,-4,30,-3,4,2,3,6,5600,4840,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,85000,3,1,3,0,4840,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2002,2009,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
5,1,2,26,313365,2,0,3,7,3740,9130,-4,-4,-4,-4,-4,-4,-4,28,129750,3,1,3,4,3740,-4,-4,-4,-4,-4,-4,-4,-4,28,130000,3,1,3,1,3740,9130,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,210000,4,2,3,4,3740,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2009,2013,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
6,2,2,27,53550,3,1,3,1,2540,-4,-4,-4,-4,-4,-4,-4,-4,28,70450,3,1,3,2,2540,-4,-4,-4,-4,-4,-4,-4,-4,29,55000,4,1,3,0,2540,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,34,37500,4,2,2,4,2300,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2008,2015,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7,1,2,26,-3,5,2,2,1,3920,9140,8300,9620,-4,-4,-4,-4,-4,27,97990,2,0,2,6,3920,-4,-4,-4,-4,-4,-4,-4,-4,28,14766,2,0,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,32,2600,2,0,2,2,9130,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8,2,4,28,18750,2,0,3,0,710,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,30,66750,2,0,3,0,4710,710,-4,-4,-4,-4,-4,-4,-4,-4,-5,34,115000,1,0,3,0,430,4850,4710,-4,-4,-4,-4,-4,-4,-4,-4,-4,2018,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
9,1,4,27,177000,4,0,3,7,3920,-4,-4,-4,-4,-4,-4,-4,-4,28,94000,3,0,3,0,3920,-4,-4,-4,-4,-4,-4,-4,-4,29,110000,3,0,3,0,2330,3920,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,157000,2,0,3,1,2330,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2020,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
10,1,4,25,135750,3,0,3,7,4760,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2017,2020,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
11,2,2,27,-3,4,1,3,3,5860,-4,-4,-4,-4,-4,-4,-4,-4,28,-3,4,1,3,2,5860,-4,-4,-4,-4,-4,-4,-4,-4,29,34500,2,0,3,5,5860,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,36000,1,0,3,5,5860,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2004,2016,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
