"PUBID","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH"
1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4
3,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,1,-5,1,1,-5
4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,2,2,2,2,1
5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,2,2
6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,2
7,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-5,-5,-4,-4,-4,-5,-4
8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5,-4,-5,-4
9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5
11,-4,-4,-4,-4,-4,-4,-4,0,1,1,1,1,1,1,0,0,0
12,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4
13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
14,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-5,0
15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-5,-5
16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0
17,-4,-4,-4,-4,-5,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
18,-4,-4,1,0,-5,0,0,0,1,0,1,0,0,2,1,1,3
19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,0,0,0,-5,0
20,-4,-4,-4,-4,-5,-4,-4,-4,-5,-5,-5,-5,-5,-4,-5,-5,1
21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2
22,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-5,-5,1,1,1,0
23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1
24,-4,-4,-4,-4,-4,1,1,2,2,2,2,0,0,0,0,0,1
25,-4,-4,-4,-4,-4,-4,-4,1,1,1,2,2,2,2,2,2,2
26,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
27,-4,-5,-4,-4,-4,-4,-4,-4,-4,1,1,2,2,2,3,3,3
28,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1
29,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
30,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
31,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
32,-4,-4,-4,-5,-4,-4,-4,-4,-5,-5,-5,1,1,1,1,1,1
33,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2
34,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2
36,-4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0
37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
38,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
39,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4
40,-4,-4,-4,-4,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5
41,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
42,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5
43,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
44,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,0,0,0,0,0,0
45,-4,-4,-4,-4,1,1,1,1,1,1,1,1,1,1,1,1,1
46,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,0,-5,-5,0,0,0
47,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,2
48,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,1,1,1,2
49,-4,-4,-4,-4,1,1,1,1,1,1,1,2,2,2,3,3,3
50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1
51,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,1,1,2,0
52,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,2,3
53,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
54,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,2,2,2,3,4
55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
56,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,2
57,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
59,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
60,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4
61,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,1,1
62,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,2,3,3,3
64,-4,-4,-4,-4,-4,1,0,0,0,0,0,0,0,-5,-5,-5,-5
65,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5
66,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-5,-5,-5,-5
67,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,-3,0,0,1,0
68,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
69,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5
70,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
71,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4
72,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-4
73,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
74,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4
75,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
76,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4
77,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,1,-5,-5,-5,-5,-5
78,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1
79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,2,2
80,-4,-4,-4,0,0,1,0,0,1,1,1,1,1,0,0,0,0
81,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
82,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,1,1
83,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
84,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,1,1,0,0,1,1,1
85,-4,-4,-4,-4,-4,-4,-4,-4,1,2,2,2,2,2,2,2,2
86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2,2,2,2
87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5
88,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-4,-4,-5
89,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
90,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
91,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5
92,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
93,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4
94,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,2,2
95,-4,-5,-5,-5,-5,-5,-5,-4,-5,-4,-4,-5,-5,-5,-5,-5,-5
96,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5
97,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
98,-4,-4,-5,-4,-4,-4,-4,-5,-4,-5,-5,-5,-4,-4,-4,-5,-5
99,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5
100,-4,-4,-4,-4,1,1,1,1,1,1,1,1,1,1,1,2,2
101,-4,-4,-4,-4,-4,1,1,1,1,2,2,2,2,3,3,3,3
102,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-4,-5,-5,-5,-4,-5,-5
103,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
104,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
105,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,2,3,3
106,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5
107,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2
108,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
109,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2
110,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2
111,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
112,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5
113,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,0,3
114,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
115,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-4,-5,-5,-4,-5,-5
116,-4,-4,-4,-5,-5,1,0,0,0,0,0,0,0,0,0,1,1
117,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
118,-4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5
119,-4,-5,-5,-5,-4,-5,-5,-5,-5,-5,-4,-5,-4,-5,-5,-4,-5
120,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
121,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-4,-5,-5,-5,1,2
122,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
123,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
125,-4,-5,-4,-5,-5,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
126,-4,-4,-4,-4,-4,-4,0,1,1,1,1,1,1,1,1,2,3
127,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,1,1
128,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
129,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5
130,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5
131,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-5,-5
133,-4,-5,-4,-5,-4,-5,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4
