"H0004900","H0005001","R0000100","R0009600","R0173600","R0214800","T1298000","T1298100","T1298200","T1298300","T1298400","T2056800","T2056900","T2057000","T2057700","T2057800","T2209900","T2210000","T2210800","T2212300","T2217800","T2326500","T2326600","T2326700","T2326800","T2326900","T3027200","T3027300","T3027400","T3028100","T3028200","T3107700","T3107800","T3110200","T3115800","T3308700","T3308800","T3308900","T3309000","T3309100","T3958000","T3958100","T3958200","T3958900","T3959000","T4112200","T4112300","T4114700","T4120300","T4282800","T4282900","T4283000","T4283100","T4283200","T4895700","T4895800","T4895900","T4896600","T4896700","T5022500","T5022600","T5026000","T5031500","T5256900","T5257000","T5257100","T5257200","T5257300","T5599700","T5599800","T5599900","T5600600","T5600700","T5770700","T5770800","T5774100","T5779700","T8428300","T8428400","T8428500","T8428600","T8428700","T8624900","T8625300","T8625400","T8787800","T8787900","T8790500","T8796100","T8982400","T8982500","T8982600","T8982700","T8982800","T9183100","T9183800","T9183900","T9299600","T9299700","T9302300","T9307900"
-4,-4,1,12,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,2,12,5,2,4720,-4,-4,-4,-4,1,3,3,1,2,4,7000,49,2,2,4720,-4,-4,-4,-4,3,3,3,1,1,4,16800,2,2,4720,-4,-4,-4,-4,3,3,4,4,2,3,43000,2,1,4720,-4,-4,-4,-4,4,3,2,3,2,4,35400,2,2,4020,5400,-4,-4,-4,3,2,3,2,2,4,-2,2,2,4020,-4,-4,-4,-4,-4,7,2,4,52000,2,2,4130,-4,-4,-4,-4,3,0,1,4,46260,2,2
0,-4,3,5,5,2,4650,-4,-4,-4,-4,1,1,1,0,2,2,-2,47,3,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4320,-4,-4,-4,-4,1,1,1,0,2,2,93000,3,0,4320,60,-4,-4,-4,3,1,1,0,2,2,90000,3,0,4320,-4,-4,-4,-4,1,1,1,0,2,2,79000,3,0,3030,3030,-4,-4,-4,-4,0,2,2,145000,3,0,10,3030,-4,-4,-4,1,0,2,2,81000,3,0
-4,-4,4,3,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2630,2850,2140,2140,2140,3,1,1,0,1,2,144600,3,0,2630,2850,-4,-4,-4,-4,-4,-4,2,77515,3,0,2140,2630,-4,-4,-4,4,0,2,2,108895,3,0
-4,-4,5,5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,6,5,1,1,430,-4,-4,-4,-4,1,2,3,0,2,5,141050,47,2,3,360,-4,-4,-4,-4,1,2,3,1,2,5,116495,2,3,2710,-4,-4,-4,-4,4,3,3,0,2,5,157000,2,3,2710,-4,-4,-4,-4,1,2,4,0,2,5,182000,2,3,2710,-4,-4,-4,-4,3,2,4,0,2,4,169010,2,2,2710,-4,-4,-4,-4,-4,0,2,2,133000,2,0,2710,-4,-4,-4,-4,1,1,2,2,144000,2,0
0,-4,7,5,1,1,8140,-4,-4,-4,-4,2,1,1,0,2,2,32600,43,2,0,8640,-4,-4,-4,-4,2,2,2,0,2,2,29352,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,8,3,6,2,5220,-4,-4,-4,-4,1,1,1,2,2,2,-2,49,2,0,5220,2140,-4,-4,-4,1,1,1,0,2,2,45319,2,0,830,2140,-4,-4,-4,1,1,1,1,2,3,41200,2,1,5000,-4,-4,-4,-4,1,1,1,0,1,2,47000,2,0,830,-4,-4,-4,-4,1,1,1,0,2,4,47000,2,1,120,5000,-4,-4,-4,-4,0,1,2,46000,2,0,950,830,-4,-4,-4,1,2,1,3,55056,2,0
0,-4,9,12,1,1,10,-4,-4,-4,-4,3,1,5,7,2,4,80000,44,2,2,10,-4,-4,-4,-4,3,3,5,7,2,4,102000,2,2,10,-4,-4,-4,-4,3,3,5,0,2,3,150000,2,1,10,-4,-4,-4,-4,3,3,5,7,2,3,160000,2,1,10,-4,-4,-4,-4,3,3,5,1,1,3,200000,2,1,10,-4,-4,-4,-4,-4,-4,-4,3,170000,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,10,5,6,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,9640,4230,4230,4230,3640,3,14,2,3,28000,2,1
